Tevin,Tevout,Psuc,Pdes,Vazao,DeltaP,Cap,Pot,Deltad,COP,Classe
3.58,-0.61,2.75,11.0,217.46,8.3,22.5,140.28,-1.04,7.49,2
3.6,-0.65,2.77,11.0,218.21,8.2,22.5,140.24,-0.93,7.62,2
3.59,-0.7,2.83,10.91,219.56,8.1,22.5,140.6,-0.98,7.73,2
3.55,-0.84,2.86,10.9,218.03,8.0,22.5,140.74,-0.97,7.85,2
3.5,-0.98,2.8,10.8,218.77,8.0,22.5,138.86,-1.05,8.14,2
3.51,-1.03,2.7,10.8,218.41,8.1,22.5,137.06,-1.05,8.34,2
3.56,-0.99,2.66,10.8,195.14,8.1,22.5,138.88,-1.09,7.36,2
3.67,-0.79,2.65,10.8,172.48,8.1,22.5,139.92,-1.12,6.34,2
3.74,-0.6,2.75,10.8,177.75,8.2,22.5,137.8,-1.19,6.46,2
3.75,-0.68,2.84,10.74,212.52,8.0,22.5,137.38,-1.17,7.9,2
3.71,-0.78,2.88,10.64,210.11,7.9,22.5,136.98,-1.07,7.95,2
3.64,-1.02,2.82,10.6,218.91,7.7,22.5,136.16,-1.05,8.63,2
3.56,-1.21,2.77,10.6,196.23,7.8,22.5,135.62,-1.03,7.96,2
3.52,-1.3,2.74,10.6,173.25,7.8,22.5,136.61,-1.0,7.04,2
3.51,-1.3,2.68,10.6,174.42,7.8,22.5,136.45,-1.07,7.09,2
3.54,-1.23,2.64,10.63,173.32,8.0,22.5,136.8,-1.01,6.96,2
3.55,-1.2,2.73,10.7,173.12,8.0,22.5,137.08,-0.92,6.92,2
3.53,-1.25,2.73,10.7,176.61,8.0,22.5,136.44,-0.78,7.14,2
3.53,-1.23,2.72,10.7,173.37,8.0,22.5,136.86,-0.71,6.96,2
3.54,-1.2,2.69,10.7,171.17,8.0,22.5,136.18,-0.85,6.86,2
3.54,-1.2,2.73,10.7,174.66,8.0,22.5,136.86,-0.78,6.97,2
3.51,-1.21,2.69,10.7,173.4,7.9,22.5,137.14,-0.9,6.88,2
3.49,-1.3,2.74,10.7,172.58,7.9,22.5,136.52,-0.99,6.98,2
3.49,-1.21,2.69,10.7,175.1,8.1,22.5,136.76,-0.99,6.93,2
3.48,-1.2,2.69,10.7,173.56,7.9,22.5,136.55,-0.97,6.86,2
3.47,-1.2,2.74,10.7,174.12,8.0,22.5,137.68,-0.93,6.81,2
3.43,-1.29,2.73,10.7,174.81,7.9,22.5,136.66,-0.88,6.96,2
3.38,-1.33,2.75,10.7,174.88,8.0,22.5,136.82,-0.93,6.94,2
3.31,-1.43,2.7,10.7,171.55,8.0,22.5,137.41,-0.87,6.83,2
3.23,-1.52,2.7,10.7,174.86,8.0,22.5,136.26,-0.73,7.02,2
3.18,-1.6,2.69,10.7,172.29,8.0,22.5,137.94,-0.82,6.88,2
3.17,-1.6,2.61,10.7,173.48,8.2,22.5,138.67,-0.85,6.88,2
3.19,-1.6,2.64,10.7,173.76,8.1,22.5,138.31,-0.91,6.94,2
3.23,-1.59,2.62,10.77,173.26,8.0,22.5,137.63,-1.03,6.98,2
3.26,-1.54,2.63,10.8,174.55,8.2,22.5,138.02,-1.09,7.0,2
3.28,-1.48,2.61,10.86,174.82,8.2,22.5,139.6,-1.14,6.87,2
3.34,-1.35,2.58,10.9,168.08,8.3,22.5,139.64,-1.17,6.51,2
3.44,-1.16,2.65,10.91,162.56,8.2,22.5,139.74,-1.21,6.17,2
3.5,-1.06,2.7,10.98,175.03,8.2,22.5,141.24,-1.22,6.52,2
3.55,-0.92,2.67,11.0,173.14,8.3,22.5,140.48,-1.21,6.35,2
3.6,-0.76,2.68,11.0,174.65,8.4,22.5,140.38,-1.18,6.26,2
3.63,-0.73,2.79,11.0,191.0,8.3,22.5,140.68,-1.15,6.83,2
3.57,-0.89,2.83,11.0,218.18,8.2,22.5,140.27,-1.16,7.99,2
3.52,-1.07,2.79,10.93,219.79,8.1,22.5,139.86,-1.22,8.32,2
3.5,-1.15,2.68,10.9,202.95,8.2,22.5,140.04,-1.21,7.78,2
3.56,-1.03,2.69,10.97,174.21,8.2,22.5,140.53,-1.23,6.56,2
3.64,-0.91,2.71,11.0,175.04,8.2,22.5,139.53,-1.25,6.59,2
3.7,-0.77,2.66,11.0,175.11,8.4,22.5,142.65,-1.24,6.32,2
3.77,-0.57,2.68,11.0,173.61,8.3,22.5,140.84,-1.22,6.17,2
3.85,-0.4,2.82,11.0,176.46,8.2,22.5,141.46,-1.23,6.11,2
3.83,-0.49,2.89,11.0,219.31,8.1,22.5,141.98,-1.17,7.7,2
3.8,-0.6,2.83,11.0,219.0,8.1,22.5,140.9,-1.17,7.88,2
3.77,-0.65,2.76,11.0,215.55,8.2,22.5,140.52,-1.17,7.82,2
3.87,-0.43,2.69,11.0,174.44,8.4,22.5,141.06,-1.21,6.13,2
3.99,-0.16,2.77,11.0,173.02,8.2,22.5,141.64,-1.24,5.85,2
4.02,-0.1,2.83,11.01,206.35,8.1,22.5,140.51,-1.13,6.98,2
4.0,-0.1,2.87,11.0,220.11,8.2,22.5,143.68,-1.17,7.24,2
3.97,-0.11,2.9,11.01,218.02,8.1,22.5,139.34,-1.18,7.36,2
3.94,-0.2,2.91,11.0,219.91,8.0,22.5,142.12,-1.26,7.38,2
3.91,-0.22,2.85,11.0,218.53,8.1,22.5,140.88,-1.3,7.38,2
3.87,-0.32,2.89,11.0,218.91,8.1,22.5,142.34,-1.28,7.42,2
3.82,-0.42,2.88,11.0,217.96,8.1,22.5,140.76,-1.24,7.57,2
3.78,-0.53,2.89,11.0,218.23,8.1,22.5,140.1,-1.24,7.74,2
3.74,-0.67,2.87,11.0,219.41,8.1,22.5,140.88,-1.21,7.93,2
3.69,-0.82,2.8,10.96,219.92,8.2,22.5,140.2,-1.19,8.16,2
3.73,-0.71,2.64,10.9,183.27,8.1,22.5,139.62,-1.14,6.72,2
3.82,-0.48,2.67,10.98,172.18,8.2,22.5,139.92,-1.11,6.1,2
3.92,-0.2,2.75,11.0,175.19,8.3,22.5,141.16,-1.09,5.9,2
3.95,-0.1,2.89,11.01,212.06,8.1,22.5,141.0,-1.11,7.02,2
3.92,-0.17,2.91,11.01,218.9,8.2,22.5,140.86,-1.12,7.33,2
3.88,-0.21,2.9,11.0,220.98,8.0,22.5,141.88,-1.11,7.35,2
3.84,-0.34,2.93,11.0,216.88,8.0,22.5,140.62,-1.14,7.44,2
3.79,-0.4,2.81,11.0,218.9,8.2,22.5,140.54,-1.06,7.53,2
3.75,-0.48,2.87,10.99,218.51,8.2,22.5,140.3,-1.07,7.59,2
3.71,-0.57,2.86,10.9,219.59,8.0,22.5,140.5,-1.02,7.7,2
3.68,-0.66,2.86,10.9,218.56,8.1,22.5,139.69,-0.98,7.84,2
3.65,-0.8,2.76,10.9,221.88,8.0,22.5,140.55,-0.91,8.1,2
